A,B,B_val,C,D,E
31504,,80124,547.05,360.38,8291.6
31680,,80228,437.91,375.08,7616.9
31571,79447,79447,330.53,374.79,6132.5
31122,79111,79111,407.77,367.89,5325
30453,78613,78613,573.88,364.61,5158.5
30429,,81391,5594.9,441.74,6375.5
32930,,98019,9384.5,526.85,8329.5
37930,137530,137530,9379.3,583.69,8790.3
43023,203120,203120,7699.4,656.61,12129
49926,290120,290120,8893.8,686.35,17261
59170,,365450,7948.2,670.66,18046
67882,398980,398980,6586.3,648.66,16882
76352,396150,396150,3051.4,641.67,14151
83802,373710,373710,2119.9,627.49,10668
88971,345480,345480,1718,635.03,10147
90958,316620,316620,1243.7,650.08,10065
89357,289240,289240,1331.6,662.35,9691.2
86317,,267460,1841.2,713.2,9658.1
83981,253780,253780,3074.1,752.08,9380.4
86549,251650,251650,4599.4,760.32,10165
98144,,266880,3898.2,773.09,16071
112840,288460,288460,2935.3,777.63,21962
122220,297230,297230,3249,920.35,23157
127210,297010,297010,3940.8,1039.4,22963
133920,,302220,7389.1,1330.6,21770
143960,316830,316830,5022.6,1549.9,20469
153260,334910,334910,3669.1,1695.9,24045
158230,345200,345200,2831.8,1872,27221
158160,337160,337160,2304.3,1814.3,22648
154440,325850,325850,1562.8,2041.6,27751
147960,319770,319770,1647.6,2235.1,35966
139520,298170,298170,1800.8,2302.4,29290
130870,271330,271330,1536.3,2417.3,20980
123230,255330,255330,1651.4,2494.7,22171
118540,,259070,2540.6,2635.7,37754
118600,277920,277920,2221.4,3095.5,55824
123910,308770,308770,5026.8,3589.1,77977
135770,373750,373750,4773.4,4030.4,112020
153390,437210,437210,5546.3,4548,126740
170120,,472890,5241.7,4889.3,117420
188630,490480,490480,4888.1,5160.3,102280
219350,527810,527810,4845.5,5545.5,107560
251190,,584400,4770.6,5931.1,122230
270040,612930,612930,5884.3,6385.5,119890
281200,,624650,7520,6964.9,108360
300870,649750,649750,10842,7482,93467
345210,712390,712390,7067.9,8236,86718
404910,797810,797810,5053.6,9316.9,87310
444070,833450,833450,3856.4,10224,79048
444940,802290,802290,2739.6,10596,64469
418890,,741540,11168,10572,51924
386400,708150,708150,25077,10395,43290
375780,,780090,16551,10566,48859
391440,,897900,8239.4,11382,58838
406980,956080,956080,9227,12495,75968
410090,,942980,6845,13519,86096
405320,886010,886010,4452.5,14218,78898
390800,812930,812930,3655.7,14458,70915
365160,733380,733380,3574.9,14272,59121
333710,656530,656530,2802.3,13789,48985
301410,,588750,2241.8,13171,42291
271340,528420,528420,1772.9,12515,37414
244740,474970,474970,1361.7,11867,33917
221370,,425880,1291.6,11228,30937
200920,382740,382740,1137.1,10592,28802
183360,347900,347900,1255.4,9980.4,28391
168220,321190,321190,1392.8,9457,30492
154960,298580,298580,1731.2,9042.7,30967
143230,276200,276200,1228.7,8696.3,28002
132750,,254830,1362,8404.6,23785
123470,,236310,1027.3,8168.1,20757
115120,221530,221530,909.26,7920.6,20011
107690,208640,208640,858.37,7669.8,20012
101100,197410,197410,750.93,7389.9,20732
95251,189520,189520,998.86,7130.8,22788
89952,181280,181280,1012.3,6914.2,22966
84981,172260,172260,1219.5,6685.9,21262
80349,164280,164280,970.84,6541.2,20094
76117,159100,159100,1143.5,6468.9,21414
72160,157100,157100,1070.6,6372.3,24553
68584,,154880,1201.4,6231,28012
65430,,154060,950.07,6077.3,31110
62268,151780,151780,1112.7,5954.5,33597
59098,153650,153650,1088.5,5813.1,40845
56035,157860,157860,785.22,5620.9,48045
53217,150090,150090,586.14,5434.5,43741
50583,133540,133540,476.69,5246.3,31857
47833,118060,118060,374.54,5058,23230
45207,113280,113280,417.89,4893.8,26399
42864,124670,124670,439.09,4743.3,42583
40671,,134800,577.29,4833.1,52882
38637,,124190,536.47,4906.7,43879
36967,109140,109140,402.67,4913.6,32804
36682,133240,133240,541.75,5338,74903
39553,236760,236760,631.13,5818.5,175470
48480,319370,319370,553.08,6315.8,224070
65865,300260,300260,504.43,6830.1,180650
87988,261710,261710,615.82,7200.6,121360
116660,250960,250960,658.19,7456.1,88856
152930,278900,278900,512.27,7744.9,83363
164080,,300670,589.4,8011.6,89333
146550,289440,289440,495.47,8189.6,92358
126840,259980,259980,506.04,8393.4,82410
110490,239800,239800,460.16,8637.7,87723
100390,,252930,586.04,8865.6,107760
94693,242820,242820,705.34,8982.1,100750
91407,,229950,559.91,9044.5,93029
87924,215340,215340,458.83,8942.7,79113
83632,184350,184350,408.74,8724.7,56014
78534,166820,166820,327.25,8507.6,45697
72745,,151200,346.95,8281.5,37952
67743,139020,139020,430.51,8020,32454
63264,128580,128580,380.43,7789.8,28358
59104,120230,120230,374.24,7553.1,25721
55169,111800,111800,346.15,7279.8,22613
51491,103410,103410,324.24,6991.6,19881
48066,,96684,278.07,6685.8,18124
44890,89854,89854,228.18,6377.1,16207
41971,84245,84245,202.5,6074.3,15071
39283,79038,79038,194.21,5781.1,14005
36800,74121,74121,197.02,5494.3,12962
34502,69546,69546,190.57,5217.8,12034
32376,,65329,179.35,4952.9,11211
30421,61429,61429,182.33,4701.2,10464
28640,57860,57860,159.74,4466.9,9788.7
27037,54632,54632,149.75,4252.3,9187.5
25596,,51720,134.03,4055.9,8655.4
24285,49059,49059,135.07,3873.2,8176.2
23073,46593,46593,124.53,3702.6,7737.4
21945,44303,44303,118.62,3543.6,7338.9
20907,42290,42290,106.81,3398.3,7096
19943,,40451,103.63,3263.5,6852.3
19035,,38596,100.39,3136.1,6474.6
18196,,36836,100.57,3016.7,6120
17419,35246,35246,95.717,2903.2,5798.8
16698,33807,33807,91.732,2795.4,5515.4
16021,,32467,91.19,2692.9,5266.4
15381,31201,31201,94.545,2595.2,5040.6
14788,30081,30081,97.007,2508.1,4851.7
14528,30288,30288,138.74,2434.3,5192.2
14322,31681,31681,150.99,2359.1,5820
13975,32786,32786,207.49,2276.6,5930
13623,33275,33275,184.52,2194.6,5638
13123,32785,32785,193.98,2115,5075.3
12610,,31579,165.79,2038.2,4442.8
12100,30205,30205,134.76,1964,3983.8
11612,28842,28842,118.03,1892.3,3678.3
11150,27576,27576,110.39,1823.3,3476.2
10713,,26408,98.188,1757.4,3326.8
10300,,25321,86.66,1694.4,3198.9
9896.4,24250,24250,91.19,1634.4,3057.2
9518.7,23217,23217,84.435,1577.6,2917.7
9157.8,22231,22231,80.067,1523.8,2793
8817.3,21296,21296,103.16,1472.3,2679.5
8497,20425,20425,77.618,1423.4,2579.9
8199.7,,19619,67.988,1378.5,2489.3
7927.4,18878,18878,68.667,1338,2406
7677,18194,18194,65.212,1300.6,2328.9
7443.3,17555,17555,62.177,1265.3,2256.9
7222.3,,16962,60.91,1231.2,2211.2
7011.5,16589,16589,59.474,1198.4,2358.3
6809.2,,16146,56.895,1166.5,2366.8
6614.2,,15504,58.482,1135.4,2166.3
6426.3,,14938,57.159,1105.5,2048.4
6245.7,14395,14395,56.26,1077.1,1926.8
6072.5,13907,13907,55.286,1050,1844.9
5906.1,,13461,55.982,1024,1783.4
5746,,13045,55.322,998.86,1732.7
5591.8,12648,12648,47.27,974.76,1684.1
5443.5,12270,12270,47.27,951.7,1637.7
5300.7,11909,11909,50.102,929.62,1592.8
5163.3,11555,11555,48.149,908.49,1541.3
5030.9,11223,11223,46.492,888.14,1500.8
4903.2,10906,10906,45.455,868.45,1462.1
4779.9,10601,10601,44.883,849.34,1425
4661,,10309,39.032,830.81,1389.5
4546.5,10030,10030,38.012,812.89,1355.5
4436.3,,9764.5,39.032,795.57,1322.9
4330.3,,9509.7,37.367,778.7,1291.2
4227.9,9264,9264,32.585,762.19,1260.3
4128.7,9026.2,9026.2,32.68,746.03,1230.1
4032.3,,8795.5,32.573,730.25,1200.7
3938.4,8571.6,8571.6,35.382,714.85,1172
3847,8353.9,8353.9,32.098,699.79,1144
3759,8145.2,8145.2,26.638,685.06,1121.3
3695.4,,8016.1,27.164,670.71,1209.6
3648.1,,8174.3,26.844,656.91,1464.4
3565.2,8076.3,8076.3,25.82,643.77,1465.6
3465.8,7665.1,7665.1,24.807,631.26,1260.5
3380.2,7491.5,7491.5,30.436,621.79,1323.5
3311.9,9840.3,9840.3,27.736,676.51,4875
3300.5,17094,17094,30.466,883.84,11458
3259.7,,20334,29.643,942.84,13815
3164.4,19297,19297,30.97,807.18,12785
3082.6,16509,16509,29.542,715.48,9669
3003.4,11620,11620,28.956,636.54,5502.7
2934.3,9160,9160,32.017,594.91,3396.8
2872.4,7659.2,7659.2,47.27,576.92,2233.4
2815.9,7107,7107,37.854,569.26,1833.1
2760.8,,6790.5,37.933,562.44,1652
2706.9,6585.1,6585.1,37.952,555.4,1551.8
2653.8,,6310.3,35.507,545.79,1336.7
2599.7,,5880.7,33.755,530.27,1065.1
2549.9,5657.1,5657.1,33.665,522.01,932.26
2530,5434.2,5434.2,30.255,515.09,815.14
2530.3,,5377.1,29.949,508.25,800.22
2533.2,,5315.7,29.194,501.44,784.94
2531.5,,5269.2,28.155,494.66,766.85
2477.3,,5176.5,27.433,487.86,748.84
2394,,5024.9,24.745,481.03,732.7
2306.2,4874.5,4874.5,23.469,474.23,719
2221.6,,4724,23.472,467.42,705.53
2158.9,,4605.9,22.227,461.31,692.35
2107,,4511.6,23.158,454.75,679.45
2063.1,,4444.2,21.56,447.53,666.76
2022.1,4371.4,4371.4,21.227,440.6,654.32
2001.4,,4282.8,21.011,433.54,642.17
2007.2,4223,4223,18.895,426.71,630.36
1982,4146.8,4146.8,20.09,420.03,618.92
1919.4,4034,4034,19.886,413.52,607.84
1861.5,3929,3929,19.25,407.09,597.08
1818.3,3851.6,3851.6,19.673,400.76,605.44
1838.6,4119.7,4119.7,19.258,395.02,1075
1887.2,5396.2,5396.2,19.699,398.53,2334
1876.4,,6261.7,17.874,398.95,3037.8
1839.7,6013.8,6013.8,18.586,388.11,2825.7
1844.6,5795.6,5795.6,18.445,378.37,2564.5
1888.6,,5478.6,18.029,369.29,2251.3
1851.1,,4945.6,17.163,361.8,1780.6
1732.2,4305.1,4305.1,16.748,355.62,1261.6
1632,,3808.3,16.41,350.11,958.61
1556.3,,3575.9,14.237,344.78,834.33
1505.3,3416.3,3416.3,15.816,339.53,755.44
1469.9,3258.2,3258.2,15.626,334.38,661.45
1448.3,,3130,14.799,328.92,588.14
1435.6,3052.5,3052.5,14.764,323.83,549.09
1415,,2982.2,14.286,318.94,517.82
1382.8,2890.8,2890.8,11.93,314.13,484.54
1354.4,,2822.9,11.93,309.43,481.14
1350.9,2869,2869,11.234,304.85,548.99
1354.4,2880,2880,11.848,300.43,557.7
1334.3,2779.8,2779.8,11.931,296.1,496.62
1296.7,2698,2698,11.627,291.85,462.54
1270.1,,2622.3,11.358,287.66,431.2
1253.1,,2565.8,11.001,283.55,414.52
1224.7,,2507.7,9.3424,279.51,405.04
1194,2448.5,2448.5,8.8875,275.52,398.67
1169.2,2399,2399,8.4382,271.6,392.96
1147.5,2353.9,2353.9,7.0812,267.73,387.43
1128.9,2313.1,2313.1,7.0231,263.9,381.18
1111.8,,2272.5,6.8561,260.16,375.18
1095.7,2277.1,2277.1,6.7531,257.03,430.27
1081.5,2338.9,2338.9,8.2344,253.91,511.61
1068.8,2333.5,2333.5,6.6099,250.2,511.46
1054.5,,2249.8,7.7223,246.52,460.82
1039.7,,2179.5,6.4201,242.98,417.38
1026.2,2114.9,2114.9,5.9058,239.62,381.72
1014.8,2068.4,2068.4,6.2002,236.42,370.85
1014.8,2115,2115,5.93,233.33,457.23
1022.5,,2279.8,5.9295,230.3,599.07
1012.2,2271.1,2271.1,5.1902,227.31,580.57
992.7,2118,2118,5.1264,224.35,470.93
977.04,,2025.8,5.0959,221.42,404.37
957.74,1933.9,1933.9,5.3034,218.57,348.76
940.58,1878.2,1878.2,4.8776,215.8,324.62
927.07,1845.6,1845.6,4.2433,213.11,318.95
915.3,1831.8,1831.8,4.8236,210.44,326.73
904.84,,1812.5,4.4953,207.81,325.54
894.98,1782.3,1782.3,3.8681,205.23,314.81
884.99,1758.4,1758.4,3.8094,203.55,308.42
877.1,1755.4,1755.4,3.7322,220.61,309.48
899.34,1780.7,1780.7,4.1858,229.59,310.88
932.44,,1787.5,3.7163,216.21,299.8
943.43,1794.7,1794.7,3.8939,208,293.13
922.9,1827,1827,3.3928,201.68,373.01
887.77,1918.7,1918.7,4.5294,197.38,513.71
875.17,2051.2,2051.2,4.8128,211.85,623.71
858.01,2089.8,2089.8,4.2889,219,642.72
832.25,,1957.2,4.1557,204.68,538.95
814.31,1940.2,1940.2,3.9378,196.68,619.16
808.28,,2644,3.6191,220.36,1561.7
833.09,,3981,3.8341,239.12,2820.1
847.53,5567.8,5567.8,3.6191,220.14,4303
854.35,6991.4,6991.4,4.0168,202.83,5982.1
882.23,8264.5,8264.5,7.5638,188.73,6750.5
857.78,7152.2,7152.2,7.4373,177.81,5312
803.22,4598.2,4598.2,7.3194,172.15,3043.3
769.29,3238,3238,6.4168,168.34,1783.2
742.79,,2284.5,6.044,166.07,984.49
727.76,1909.1,1909.1,5.9691,164.16,694.54
718.31,1794.6,1794.6,5.923,162.35,622.67
710.67,,1766.5,5.8087,159.25,598.49
702.02,,1733.7,5.7247,157.04,587.61
694.39,1786.4,1786.4,5.6124,156.23,671.22
690.92,2003.1,2003.1,5.8813,155.15,875.98
685.52,,2339.7,5.4748,153,1267.5
676.25,2554.7,2554.7,5.3577,151.13,1446.7
667.09,2322.3,2322.3,5.2698,154.16,1138.1
657.84,1931.2,1931.2,5.6264,154.83,785.1
649.4,1616.4,1616.4,5.1009,150,505.11
641.85,,1465.4,5.0063,146.49,413.91
634.87,1462,1462,5.3799,143.08,426.09
628.12,1424.5,1424.5,4.8585,140.55,386.85
621.41,1343.9,1343.9,5.0567,138.58,326.95
614.77,,1291.7,5.3666,136.87,283.58
607.93,1237.1,1237.1,4.8885,135.23,244.82
601.21,1192.3,1192.3,4.6444,133.63,211.22
594.59,1162.8,1162.8,4.8467,132.03,197.11
588.07,1146.5,1146.5,4.6892,130.25,192.78
581.89,1140.4,1140.4,4.6889,129.12,199.08
582.7,1312.7,1312.7,4.5679,137.01,421.51
591.17,2061.3,2061.3,4.4808,141.52,1373
588.54,3165.5,3165.5,4.2646,134.94,2303.3
574.04,,3175.7,4.2733,129.55,2078.3
560.59,,2381,4.2314,124.69,1395.5
549.12,1915.1,1915.1,4.2675,121.35,941.58
540.26,,1517.1,4.1593,119.26,588.02
534.58,,1256.8,4.0406,117.81,370.52
558.32,,1242.2,4.1936,117.4,397.58
640.76,2777.1,2777.1,3.8083,137.4,2742.7
687.68,7785.7,7785.7,4.0513,149.81,7152.5
663.3,9877.2,9877.2,14.033,155.09,8720.9
637.41,9223.2,9223.2,8.9349,183.4,8100.8
594.95,,7957.1,3.1264,191.89,6308
546.84,5008.1,5008.1,2.7667,168.91,3734.7
517.58,3338.7,3338.7,2.7693,142.08,2195.8
499.3,,2101.7,2.7149,124.57,1162.5
490.59,,1623.9,2.6411,113.56,768.1
526.63,1473,1473,1.7482,109.07,652.85
582.85,1963.4,1963.4,1.7482,110.34,1317.9
589.53,3234.7,3234.7,1.3553,110.25,2451.8
572.96,3663.3,3663.3,1.2198,110.41,2680.1
542.68,3342,3342,1.1907,109.31,2293.1
504.46,2666.8,2666.8,0.82669,104.26,1627.9
516.99,1907.7,1907.7,0.80451,102.8,1011.6
555.74,2110.1,2110.1,0.73242,108.81,1346.1
544.79,,2788.5,0.72894,115.43,2016.7
513.27,,3305.8,0.81558,113.92,2398.5
492.07,3425.3,3425.3,0.76357,122.27,2585.1
498.56,6578.8,6578.8,0.73246,136.8,6922.6
587.12,,14142,0.71895,259.27,13837
670.99,,17058,1.0182,336.67,15401
1058.3,,16569,7.6305,506.57,14279
1256.2,14514,14514,3.0565,592.83,11401
1001.2,,10586,1.718,429.95,8445
831.71,10057,10057,1.3478,339.19,8561
723.37,11675,11675,0.77847,267.08,10391
720.97,13577,13577,0.69294,233.28,13072
815.3,,18581,0.68043,217.14,17150
1270.9,20319,20319,5.4843,215.56,18371
1588.6,21445,21445,9.7879,195.01,18933
1418.4,20599,20599,11.572,190,17845
1250.9,16501,16501,13.359,200.26,14014
1446.1,14315,14315,94.004,193.11,11700
1802.6,13130,13130,254.36,219.56,10401
1886.4,15184,15184,102.14,239.92,13260
2424.6,24438,24438,196.44,377.52,22040
3389.5,,31084,173.87,453.55,25273
4104,26638,26638,154.39,376.9,19458
5755.9,32254,32254,243.34,430.31,26593
12485,,64242,248.82,438.61,59683
21135,145250,145250,1021.8,376.49,139230
28060,,242970,633.3,342.66,216500
36629,258110,258110,391.72,319.52,207830
44213,,209040,327,316.78,151600
47849,,160400,241.09,323.48,100040
48414,,121090,173.35,363.22,63101
47087,99361,99361,118.81,380.74,44814
44792,,85592,103.38,369.12,34060
42317,76076,76076,79.766,364.93,27426
40110,,69055,62.84,355.49,22902
37975,,62764,55.048,352.44,18797
36026,55928,55928,48.523,351.26,13880
34219,49424,49424,44.6,348.94,9933.2
32525,46242,46242,32.538,357.32,8840.8
30910,44050,44050,29.769,364.42,8346.7
29328,,42574,25.991,371.25,8595.9
27897,41053,41053,22.405,371.72,8809.4
26647,,40163,24.431,376.02,9150
25522,,39054,19.876,375.55,9010.4
24589,37210,37210,31.16,370.56,8353.8
24104,37295,37295,20.473,377.56,8864.7
23700,38025,38025,22.972,376.29,10163
23897,,43592,114.88,435.2,14525
27586,58487,58487,2176.8,473.3,26123
34177,85342,85342,1343.2,445.21,41632
40517,98327,98327,740.98,416.23,41162
45324,91565,91565,626.79,383.7,28640
48121,88663,88663,389.47,454.82,23460
49151,91704,91704,282.84,504.58,26370
48921,95934,95934,215.01,486.18,29561
48030,93103,93103,172.31,474.5,28175
46828,93934,93934,143.76,465.4,31535
45534,,93371,117.51,467.67,31698
44169,84814,84814,97.228,482.92,24396
42672,,76793,91.239,495.34,18570
41219,72115,72115,84.275,517.35,16092
41122,74697,74697,84.275,677.14,20382
42144,88098,88098,158.5,744.82,31854
43292,110510,110510,632.5,924.78,55314
45122,146070,146070,631.68,1136.7,85145
48021,,170340,517.83,1358.7,102220
52984,179190,179190,365.9,1626.1,102150
60101,,176370,930.83,1854.2,88313
68034,,176570,5734.9,2778.3,79869
75970,192130,192130,6256.3,5355.3,73533
84382,207830,207830,3058.4,10381,66350
92139,226340,226340,1772.4,14998,64764
97443,,228460,2109,16910,57308
101240,228360,228360,2452.5,17269,53077
104090,228370,228370,3158.8,16711,46604
106150,224090,224090,2187.6,15840,36667
112610,227130,227130,1813.9,14967,29878
137370,246490,246490,1770.4,14174,25499
187060,292310,292310,2199.4,13451,23277
252890,,354810,1277.5,12770,21647
316640,420290,420290,1139.4,12117,22793
347740,,455940,915.07,11417,23621
337760,445790,445790,1962.2,10802,22635
317060,431540,431540,4399.1,11184,30076
324510,494460,494460,11343,15498,81992
382210,,691050,5927,24663,201550
462480,,935180,3205.4,32386,308970
511070,,998770,1810.1,34906,284340
500420,897580,897580,1351.5,34131,198080
450600,775930,775930,1419.3,31456,138940
394380,655100,655100,2108,28413,93887
346130,,574220,2366,25860,79333
316510,542090,542090,2192.1,24068,91122
311730,,560060,1878.3,22915,128570
332950,,621740,1361,22105,172320
363490,664430,664430,1349.7,21271,178410
377040,651940,651940,1485.5,20346,157750
370210,,642640,1901.4,19693,167280
355460,646600,646600,3047.3,19267,183060
338490,609740,609740,3596.7,19051,157660
318800,553810,553810,3091.7,19256,123190
297260,,509610,2175.8,19898,98288
275620,,468050,1593,20443,78741
254470,433820,433820,2764,20388,67225
234080,403200,403200,1785.7,19852,59529
214230,373010,373010,1421.3,19012,53213
195220,,343620,1223.5,18008,47841
177620,316090,316090,886.05,16932,43425
161520,,293960,668.43,15851,44810
146930,282930,282930,589.46,14806,52360
134190,265360,265360,478.9,13814,50934
123190,,243520,398.65,12887,46477
113380,227630,227630,400.73,12025,44083
104720,,207600,342.43,11253,37525
96997,,191300,314.02,10613,33359
90086,176400,176400,291.26,10191,28921
83883,162380,162380,240.26,9977.5,25108
78139,153600,153600,231.45,9871.8,24935
72882,144940,144940,210.27,9736.8,23798
68073,134880,134880,196.44,9474,21464
63552,,126770,177.29,9108.7,20498
59324,118720,118720,155.24,8677.9,18847
55412,109480,109480,161.52,8218.5,16036
51745,101190,101190,148.26,7752.9,13871
48287,94014,94014,144.01,7296.7,12418
45043,87486,87486,138.97,6859.1,11282
42016,81435,81435,135.22,6439.5,10406
39210,76620,76620,136.39,6047.7,10208
36692,71839,71839,131.57,5682.4,9798.9
34421,,68073,128.24,5342.5,9851.4
32246,64407,64407,92.983,5034.2,9670
30225,60669,60669,91.048,4754.3,9328
28447,58224,58224,92.554,4544.3,10137
26848,,58140,93.615,4348.6,13316
25433,62509,62509,92.254,4204.1,19386
24198,63592,63592,124.19,4173.9,21222
23174,,60231,142.28,4121.7,19332
22391,,62400,171.08,4072.6,24236
22998,78885,78885,155.86,4046.8,44593
25043,,110860,154.01,4009.2,68357
25479,110190,110190,161.52,3972.2,60393
24312,83701,83701,203.58,3913.8,37037
23324,69337,69337,185.47,3828.4,23685
22399,56831,56831,165.31,3717.3,13521
21581,50350,50350,144.25,3593.5,9019.5
20833,47006,47006,125.08,3461.1,7403.5
20070,45051,45051,106.39,3325.9,6978.5
19261,43165,43165,98.445,3194,6643.3
18441,41143,41143,88.369,3065.1,6113.7
17579,38696,38696,83.914,2940.7,5042.1
16702,35661,35661,73.428,2819.5,3877.4
15904,33983,33983,63.23,2701.4,3717.8
15145,32380,32380,58.767,2586.4,3565.2
14413,30838,30838,66.08,2475.8,3488.9
13727,,29756,62.84,2371.8,3692.5
13097,,28556,60.849,2275.9,3639.7
12523,27117,27117,61.928,2187.3,3378.1
11994,26128,26128,61.209,2104,3389.1
11500,25029,25029,59.919,2024.6,3284.1
11036,24180,24180,47.714,1948.7,3340.6
10598,23273,23273,48.029,1876.6,3225.1
10188,,22013,44.22,1809.1,2808.4
9813.1,21040,21040,46.063,1759,2593.4
9466.6,20516,20516,45.786,1708.3,3037.3
9187.9,21690,21690,44.616,1646.3,4918.3
8972.3,,22708,42.658,1588.7,6012.9
8676.6,21314,21314,42.209,1532.3,5024.4
8335.5,19396,19396,37.174,1479,3830.9
8033,,18003,40.845,1428.4,3024.5
7745.7,,16786,35.526,1380.1,2408.1
7483.5,15856,15856,37.587,1333.4,2039.5
7237.9,15200,15200,31.527,1288.4,1883.9
7004.9,14630,14630,30.736,1245.1,1782.2
6780.1,,14109,30.256,1202.9,1708.9
6561.8,13607,13607,29.581,1162.6,1625.5
6347.7,13064,13064,31.434,1123.9,1497.2
6139.5,12561,12561,29.253,1086.6,1408.1
5941.6,,12128,27.731,1050.9,1357.8
5751.3,11712,11712,27.774,1016.6,1307.3
5568.1,11310,11310,27.462,983.56,1257.8
5391.5,10928,10928,27.229,951.54,1214.3
5220.7,10561,10561,25.581,920.49,1172.3
5055.4,10205,10205,23.517,890.31,1131.7
4895.8,9863.3,9863.3,25.065,861.29,1092.4
4743.4,9537.7,9537.7,24.305,834.21,1054.9
4599.9,,9232.2,22.89,809.48,1019.5
4465.4,8947.5,8947.5,21.923,786.8,986.66
4338.9,8681.2,8681.2,20.859,765.67,956.3
4218.8,8430.5,8430.5,21.044,745.72,928.15
4104,,8192.3,20.016,726.68,901.83
3993.5,7964.1,7964.1,19.282,708.32,876.94
3886.7,,7744.5,19.25,690.56,853.16
3783.5,7532.4,7532.4,18.766,673.31,830.18
3683.6,7326.8,7326.8,18.516,656.34,807.78
3587,7127.2,7127.2,18.463,639.7,785.99
3493.2,,6933.8,17.975,623.61,764.97
3402.4,6746.4,6746.4,16.854,608.06,744.75
3314.2,,6564.8,17.445,593.01,725.26
3228.7,6388.6,6388.6,17.44,578.43,706.42
3145.8,,6217.3,16.975,564.18,688.09
3065.3,6050.7,6050.7,16.102,550.21,670.17
2987.1,,5888.5,15.475,536.53,652.63
2911.1,,5730.6,15.15,523.16,635.39
2837.4,5577,5577,13.358,510.08,618.42
2766.1,5427.7,5427.7,14.321,497.34,601.84
2696.8,5283.1,5283.1,13.774,485,585.77
2629.7,,5143.4,12.719,473.07,570.23
2568.7,5011.6,5011.6,13.067,461.54,555.23
2512.4,4889.5,4889.5,13.043,450.35,540.8
2449.4,4763.7,4763.7,12.994,439.44,526.95
2383.2,,4635.1,11.495,428.8,513.58
2320.8,4512.8,4512.8,11.564,418.47,500.67
2260.6,4394.4,4394.4,11.199,408.44,488.22
2204.5,4288.6,4288.6,10.755,398.76,486.14
