A,B,B_val,C,D,E
2160.6,4353.3,4353.3,10.737,389.54,712.21
2125.5,4619.1,4619.1,10.158,380.88,1005.2
2073.6,,4537.8,9.6244,372.82,935.07
2013,4271.6,4271.6,10.347,365.28,859.25
1959.7,4427.7,4427.7,9.6672,358.17,1068
1909.5,,4334.9,8.8693,351.35,1001.6
1864.7,3961.3,3961.3,8.4188,344.75,730.6
1823.2,3752.6,3752.6,8.5826,338.36,598.75
1783.7,,3557.3,9.4848,332.18,484.67
1745.6,3430.6,3430.6,9.3338,326.14,432.82
1708.7,3340.9,3340.9,9.2716,320.26,412.27
1672.6,3264,3264,9.2216,314.56,399.25
1637.5,3229.1,3229.1,9.2716,309.03,495.16
1604,3545.7,3545.7,9.1482,303.62,830.78
1571.5,3604.4,3604.4,9.0418,298.3,872.78
1540,3276.4,3276.4,8.8162,293.12,629.06
1509.6,3108.2,3108.2,8.777,288.07,513.01
1480,,2931.9,8.2679,283.17,401.24
1451.2,,2824.4,8.5308,278.43,351.09
1423.2,,2752.2,8.5494,273.83,331.83
1395.7,2697.5,2697.5,7.5159,269.37,325.95
1368.9,,2644.1,7.8459,265,320.24
1342.6,,2591.7,8.0431,260.69,314.7
1316.9,,2539.2,7.8771,256.47,305.02
1291.7,,2473.1,7.792,252.35,286.58
1267,2424.1,2424.1,7.009,248.31,281.45
1242.7,2376.3,2376.3,6.9826,244.34,276.46
1219.1,2329.8,2329.8,6.9313,240.44,271.62
1197.7,2285.6,2285.6,6.9219,236.6,266.92
1177.8,2244.3,2244.3,6.8346,232.81,262.32
1171.2,,2212.7,6.7399,229.04,257.83
1535.1,2460.6,2460.6,6.8917,225.29,253.38
2085.5,,3043.5,6.5083,221.57,249.02
2150.1,3168.5,3168.5,6.3335,217.92,266.58
2022.7,3313.1,3313.1,6.1449,214.33,804.82
1926.5,4499.6,4499.6,5.9497,210.86,1945
1785.2,4638.7,4638.7,5.9006,207.48,1985.4
1557.2,3583,3583,5.8141,204.18,1238.7
1301.1,2981.9,2981.9,5.6657,201,980.68
1246.3,,2817.2,5.5898,198,924.48
1291.1,2769.6,2769.6,5.6022,195.03,798.51
1489.7,2649,2649,5.6657,191.99,563.27
1776.3,2842.4,2842.4,5.6969,189.02,448.46
1676.9,2689.6,2689.6,5.6261,186.13,349.45
1375,2295.3,2295.3,5.4813,183.33,302.14
1179.1,2062.4,2062.4,4.9284,180.6,266.08
1028.1,1890.2,1890.2,5.3872,178.23,298.2
1130.1,2463.7,2463.7,5.311,183.23,986.38
1459.2,,3742,5.168,226.56,1765.9
1612.6,3967,3967,5.0415,241.6,1603.8
1482.8,3540.2,3540.2,4.9297,211.02,1429.8
1281.4,3168.4,3168.4,4.8934,193.17,1226.2
1084.9,2444.4,2444.4,4.9284,176.02,728.67
947.61,2003.6,2003.6,5.4695,168.04,491.73
887.72,1758.8,1758.8,5.3299,164.31,341.02
862.62,,1711.7,5.2151,164.96,357.65
852.29,1779.2,1779.2,5.092,164.31,431.5
844.96,,1756.1,5.0074,159.37,408.39
831.39,1761.5,1761.5,4.7845,160.33,479.4
819.45,1914.2,1914.2,4.5831,158.47,657.75
817.08,1982.3,1982.3,4.7165,153.03,677.93
805.61,1907.7,1907.7,4.4201,148.53,648.34
789.01,1891.6,1891.6,4.5578,144.71,649.37
776.36,1761.1,1761.1,4.3843,141.77,512.68
764.63,,1557.8,4.3529,139.51,353.99
755.18,,1451.5,4.2442,137.65,268.36
746.84,,1372.1,4.2532,135.68,210.95
738.97,,1330.1,4.1344,133.87,187.43
732.72,1319,1319,4.0261,132.1,196.02
731.68,1326.6,1326.6,3.933,130.14,207.58
730.56,1311.1,1311.1,3.7844,128.38,194.32
723.19,1282,1282,4.2532,127.41,184.2
745.42,1370,1370,3.6612,141.51,250.42
757.03,1557.9,1557.9,3.9381,152.89,413.57
775.55,,2097.2,3.4819,195.88,957.2
852.31,2657.4,2657.4,3.3994,218.62,1318.1
938.26,,2582.6,3.2618,185.76,1022
1004.9,2350.7,2350.7,3.1473,172.11,852.77
1032,,2577.1,3.0255,171.13,1095.1
948.07,2742.4,2742.4,2.9894,161.99,1329.5
820.56,2831.5,2831.5,3.3519,141.51,1640.6
753.21,,3097.5,2.9988,129.97,1916.3
696.49,2850.9,2850.9,2.9144,120.88,1611.9
658.69,2267.6,2267.6,2.8502,115.43,1090.4
645.86,1862.6,1862.6,2.7894,113.66,732.28
667.3,,1663.5,2.6549,110.52,535.31
677.33,1656.3,1656.3,2.6582,108.46,514.2
647.36,1580.7,1580.7,2.8223,107.01,465.62
618.57,1387.6,1387.6,2.5098,107.23,340.26
595.3,1277.4,1277.4,2.4901,106.2,289.52
614.36,1663.6,1663.6,2.8223,103.82,844.35
645.55,2311.4,2311.4,2.4022,102.08,1371.2
628.04,2170.8,2170.8,2.343,100.38,1084.6
598.12,,1687.6,2.504,99.162,708.58
577.26,1435.1,1435.1,2.8223,99.011,469.05
558.97,1241.3,1241.3,2.6292,101.49,320.64
592.11,1631.3,1631.3,2.5322,158.88,854.2
643,,3009.7,2.4557,193.75,2204.2
628.46,4216.6,4216.6,2.4665,159.87,3127
588.78,,3915.3,2.8223,134.25,2757.4
619.09,,3086.3,2.3894,111.72,2104.4
675.03,3117.3,3117.3,4.2532,98.884,2038.3
647.51,,2746.5,4.5831,93.556,1602.1
592.64,1942.3,1942.3,4.2532,92.012,952.6
554.34,,1861.2,3.6976,91.07,978.66
520.96,1853.7,1853.7,3.5633,90.125,1029.1
504.25,1934.5,1934.5,3.6377,89.754,1056.1
511.89,,1907.1,3.399,86.731,1034.9
516.64,1719,1719,3.0802,85.044,827.22
501.07,1524.8,1524.8,2.6963,86.465,616.62
488.48,1375.3,1375.3,2.6267,87.229,537.67
474.59,,2391.5,2.6118,94.722,1887.4
464,,3874.7,2.5455,99.927,3133.1
458.17,,3635,2.8139,93.565,2581.9
453.55,2806.7,2806.7,2.384,88.396,1883.5
449.36,,2296.5,2.1298,83.593,1302.2
446.17,1631.9,1631.9,2.2696,80.018,749.84
445.52,,1428.7,2.2018,77.846,615.99
447.37,,1428.1,2.1204,76.763,608.15
472.06,1359,1359,2.037,80.628,497.09
495.65,1262.3,1262.3,1.9971,82.177,371.04
479.71,1155.2,1155.2,1.9297,78.493,289.99
453.33,,1005.7,1.5527,75.646,178.08
434.42,896.08,896.08,1.8214,73.08,120.59
420.26,862.54,862.54,1.802,71.447,112.23
412.4,,834.41,1.716,70.345,101.35
407.69,820.73,820.73,1.55,69.519,98.758
404,,811.03,1.4638,68.76,96.307
400.32,796.33,796.33,1.402,68.027,89.725
396.59,782.68,782.68,1.228,67.27,84.882
392,772.82,772.82,1.3773,66.289,84.115
390.67,764.99,764.99,1.3275,65.503,83.611
389.51,,758.49,1.2746,64.732,90.618
385.77,835.97,835.97,1.0829,63.943,349.65
408.68,2816.2,2816.2,1.0829,63.168,2405.9
447.03,3824.1,3824.1,1.1814,62.407,3074.4
438.42,,2618.8,1.0829,61.658,1733
406.56,,2016.7,0.96484,60.918,1358
390.21,3974.3,3974.3,0.95036,60.177,5993
459.62,21762,21762,0.90012,59.438,23106
553.2,29881,29881,0.86032,58.703,27704
521.63,,19176,0.76812,57.991,17022
451.04,,12331,0.72688,57.289,10536
405.05,6117.7,6117.7,0.71219,56.595,4799.9
389.87,,2968.1,0.60919,55.926,2082.8
403.83,1806.8,1806.8,0.5158,55.259,1113.5
392.98,1676.1,1676.1,0.43173,54.582,1044
369.61,,1646.1,0.43173,53.925,1044
354.67,,1626.7,0.35668,53.276,1043.9
341.97,1533.5,1533.5,0.29017,52.685,855.82
331.68,926.65,926.65,0,52.935,367.93
327.89,1007.4,1007.4,0,52.919,502.72
330.18,1088.4,1088.4,0,51.859,533.44
326.95,1058.9,1058.9,0,50.864,541.51
325.9,1177.7,1177.7,0,50.145,644.36
425.69,1281.2,1281.2,0,53.711,576.67
485.69,1125.4,1125.4,0,54.871,356.73
428.79,953.85,953.85,0,51.494,251.58
385.08,797.31,797.31,0,49.7,168.05
341.21,,710.92,0,47.886,144.6
317.04,813.96,813.96,0,49.567,458.38
353.28,3009.7,3009.7,0,55.628,3246.3
457.19,7945.1,7945.1,0,69.675,8488.9
604.59,14593,14593,0,87.795,14155
861.92,,17394,0,125.85,16442
1669.8,22680,22680,0,284.75,21745
2428.8,27756,27756,0,334.95,24537
2119,23476,23476,0,222.62,19631
1998.1,18786,18786,0,156.79,15559
2171.1,14910,14910,0,103.61,11653
1839.5,12760,12760,0,88.107,10355
1478.7,12326,12326,0.00577,88.327,10343
1167.2,12882,12882,0,106.04,11721
1057,,20966,0.00577,122.74,22880
1584.1,39019,39019,3.9295,144.49,38630
2737.3,,47071,4.1782,187.32,42916
3842.1,42535,42535,295.88,172.62,37455
4418.3,38111,38111,144.9,149.14,31606
4373.2,31654,31654,124.22,134.92,25675
4009.6,26131,26131,116.99,168.02,20491
3858.8,,22492,307.9,186.3,17577
4722.9,24643,24643,376.75,153.52,20080
6409,,33152,362.38,137.04,27911
7216.4,43173,43173,250.08,132.95,35339
7188.6,48757,48757,147.06,136.08,39157
8316.1,50909,50909,134.92,277.02,42754
9429.2,,62243,479.79,439.51,51504
10317,,67411,1529.3,397.86,51657
11704,59293,59293,1079.9,348.19,41114
12061,52406,52406,836.99,292.04,32790
13172,56115,56115,729.7,418.94,39442
15442,80462,80462,883.2,489.83,58398
17120,87005,87005,1726.1,338.41,56798
18679,,71752,1050.6,259.86,40966
20050,62033,62033,916.93,209.26,30083
22415,,62579,1124.4,239.59,33390
27088,92249,92249,1426.7,444.07,61226
32975,,122670,1162.3,565.25,77521
38890,126730,126730,1398.2,512.49,71709
47544,145830,145830,5761.8,683.11,75681
66281,193500,193500,5159.1,820.26,84629
88188,230560,230560,3291.7,874.1,78848
101120,241780,241780,2814.4,1135.6,67537
108730,,245120,3519.1,1356.2,59559
118900,249750,249750,6106.4,1534.7,54648
144460,281130,281130,11652,1859.3,56372
191650,,346080,13851,2378.8,52688
258740,437960,437960,8585.8,3779.1,45934
340170,557990,557990,5142.1,6061.5,49174
397360,663480,663480,3361.2,7623.4,69204
401960,,679550,2017.7,7997.5,71942
371320,,616510,1481.4,7780,52328
327530,540270,540270,1264.8,7361.7,40388
285690,,470230,2728.2,6912.5,30929
254520,,425430,3271.8,6487.7,26545
233450,403400,403400,2507.7,6247.8,24748
218010,394740,394740,3605.1,6090.7,25328
205170,397280,397280,5147.7,6107.2,28734
195790,424790,424790,5852.1,6727,49067
192500,477860,477860,5788.7,7836.1,83127
197370,520340,520340,4351.3,8906.3,106830
208870,547220,547220,3651,9701.2,119610
220710,543430,543430,3546.5,10076,108710
228670,515040,515040,3170.8,10080,85274
232400,489300,489300,2592.4,9842.6,67092
232500,463780,463780,3494.8,9454.9,51051
232560,447910,447910,2626.1,9027.1,41774
236320,441530,441530,2092.7,8603.8,36857
240810,437600,437600,2225.8,8197.5,33986
240180,425800,425800,1738.9,7796.8,30273
233960,407030,407030,1654.8,7421.8,26794
224170,387590,387590,1618.8,7080.7,24960
212110,374390,374390,6725.6,6806.1,32118
202380,388200,388200,7825.9,6894,54215
209220,,453590,14072,7913,94225
253590,599720,599720,5519,10260,151570
322390,755850,755850,3039.6,12914,182790
369500,796420,796420,4455.5,14570,151450
380610,770890,770890,6782.3,15240,104390
371370,762410,762410,8683.4,15477,76668
357080,765140,765140,10191,15573,59794
349810,771240,771240,6694.6,15544,58137
346990,768410,768410,4847.3,15312,62513
339790,737020,737020,3706.5,14754,58335
332220,690190,690190,4791.8,13979,50202
332410,656100,656100,4593,13107,42926
333480,628670,628670,3441.1,12219,35737
325020,596430,596430,2642.9,11395,30877
308380,561800,561800,2174.1,10663,28575
288960,532400,532400,3735.8,10022,27409
272770,511810,511810,4524.9,9431.1,26914
261530,493580,493580,3401.6,8872,25155
250670,469640,469640,2592.4,8362.2,21860
236980,,440150,1755.2,7880.4,19453
220880,,408200,1392.5,7422.7,18431
204080,378200,378200,1216.2,6999,18527
189020,351120,351120,1394.7,6624.7,17734
180030,330390,330390,1094.6,6284.7,16507
179240,318720,318720,1360.2,5958.6,15152
180460,310110,310110,1124.4,5654.4,13531
176330,,297490,986.21,5379.5,12793
167110,280670,280670,1120.6,5133,12653
156300,264360,264360,1021.7,4983.8,13179
146240,251760,251760,1137.1,4824.2,14651
137790,242760,242760,1260.2,4611.6,16475
131280,239010,239010,1577.9,4497.7,22011
126780,247910,247910,1564.1,4581,39323
123650,270670,270670,2254.6,4751.9,61598
122020,284250,284250,1866.5,5271.9,70932
121550,293770,293770,2062.5,6281.1,79025
122370,313410,313410,1526.9,7301.4,91618
125320,,322350,1500.1,8043.7,91346
129420,311430,311430,1217.4,8411.6,74193
132260,,291700,1185.2,8473.1,54534
132210,,282900,1537.9,8367.8,49695
129200,275020,275020,1689.5,8172.6,46040
123840,257360,257360,1538,7989.1,36244
117130,240050,240050,962.91,7793.1,28930
109970,,224090,867.07,7543.8,22799
103470,215090,215090,662.88,7340.5,19003
99040,,225190,5567.1,7195.2,17604
97446,,253070,5487,7071.6,16143
96438,277720,277720,3381.9,6926,14443
93818,,284140,2470.9,6761.4,13084
89648,274150,274150,1519.6,6536.6,11607
84407,,254470,1357.8,6267.8,10385
78743,232210,232210,990.65,5975.8,9945.5
73184,211180,211180,823.4,5672.4,9583.5
68000,192120,192120,671.47,5375,8776.4
63288,175590,175590,607.36,5088.8,7999.9
59060,161410,161410,510.23,4820.2,7362.8
55200,148600,148600,552.37,4571.4,6756.2
51646,137080,137080,568.07,4360.1,6431.3
48435,127710,127710,571.42,4186.2,7078.6
45601,121260,121260,585.66,4122.2,9120.2
44509,121410,121410,2419.9,4577.4,14628
44911,129850,129850,2637.3,5675.9,20385
45398,136640,136640,3057.7,7320.2,18716
45750,,140080,3595.8,9055.1,13784
45328,142510,142510,2295.1,10145,10456
44080,140530,140530,1356.5,10533,7975.5
42343,136400,136400,984.09,10552,7479.5
40482,132520,132520,780.86,10368,9457.9
38653,129010,129010,744,10080,11894
36867,125290,125290,693.5,9810.1,14365
35175,121270,121270,727.79,9511.1,16340
33496,116120,116120,684.47,9174.7,16050
31866,107660,107660,568.34,8798.6,12986
30310,98137,98137,568.34,8389.1,9136.5
28817,90494,90494,520.58,7972.2,6844.2
27404,,83949,479.79,7566,5382.6
26066,78623,78623,431.05,7177.3,4735.5
24809,74020,74020,375.86,6806.3,4421.7
23624,69815,69815,345.33,6458.1,4161.4
22511,65891,65891,332.63,6129,3915
21466,,62218,316.04,5819.8,3622.2
20485,58800,58800,299.86,5530.9,3352.5
19563,,55626,291.92,5261.2,3113.1
18695,52789,52789,272.52,5009.5,2979.6
17879,50156,50156,280.96,4774,2857.3
17111,47702,47702,263.97,4553.3,2741.4
16388,,45411,242.42,4346.7,2631.3
15707,43266,43266,228.56,4152.7,2526.6
15063,41251,41251,218.15,3969.7,2426.8
14449,39350,39350,207.96,3796.3,2331.5
13864,,37555,201.31,3631.9,2240.1
13306,35861,35861,194.75,3476.2,2152.4
12777,34267,34267,188.3,3329.3,2068.6
12275,32767,32767,181.95,3190.7,1988.8
11799,31352,31352,175.71,3059.8,1912.9
11346,,30016,172.62,2935.8,1840.6
10915,,28753,166.54,2817.9,1771.5
10505,27560,27560,160.55,2706.1,1705.6
10117,,26435,118.18,2600.2,1642.8
9748.8,25377,25377,109.5,2501,1583.6
9404.9,24392,24392,107.23,2411,1529
9086.3,,23480,105.25,2330.3,1479.2
8789.8,22631,22631,103.92,2256.6,1433.5
8511.4,,21832,103.4,2188,1390.9
8247.7,21076,21076,93.154,2123.1,1350.6
7995.8,,20355,91.132,2060.6,1312.1
7754.7,19664,19664,88.455,2000.2,1275.1
7524.1,19004,19004,85.624,1941.9,1239.5
7303.7,18374,18374,82.905,1885.9,1205.2
7092.9,17773,17773,80.785,1832.5,1172.3
6891.3,17201,17201,78.212,1781.9,1140.7
6697.7,16655,16655,76.774,1733.8,1110.6
6511.3,16132,16132,76.479,1687.9,1081.8
6334.9,,15648,75.052,1643.9,1054.2
6176.6,15396,15396,73.658,1602.8,1027.9
6057.8,,15424,72.071,1564,1002.7
5922,,15446,60.95,1526.6,978.61
5750,15411,15411,66.97,1490.5,955.3
5590.5,,15391,116.27,1455.1,932.75
5438.2,15297,15297,112.39,1420.2,910.83
5297.5,15099,15099,133.32,1385.9,889.53
5179.9,14843,14843,150.18,1352.6,868.88
5063.8,14539,14539,111.41,1320.5,848.9
4935.1,14201,14201,107.75,1291.7,830.65
4814.2,13920,13920,103.81,1309.1,851.14
4706,13879,13879,97.54,1307.8,1198.3
4643.2,,14281,86.796,1256.3,1796.9
4595.2,,14138,82.702,1216.7,1769.5
4491.4,13370,13370,80.697,1178.2,1339.4
4374.8,12793,12793,80.697,1146.7,1077.1
4255,12245,12245,80.697,1120.1,860.08
4128.3,11814,11814,80.697,1096.4,759.71
4021,11478,11478,78.721,1074,720.83
3924.1,,11190,76.774,1052.7,705.79
3836.8,10921,10921,74.856,1032.4,693.86
3766.3,10701,10701,80.15,1010.9,737.77
3709,10789,10789,77.653,991.74,1159.5
3631.6,,11294,74.978,973.43,1787.4
3542.3,11113,11113,72.891,955.58,1703.4
3461.2,10356,10356,60.51,937.94,1228.7
3383.1,9855.1,9855.1,70.472,920.35,949.82
3311,9401.7,9401.7,67.082,902.77,724.51
3242.2,9121.9,9121.9,63.545,885.15,646.91
3175.2,8890.7,8890.7,53.994,867.39,621.82
3109.1,,8663.4,60.855,849.78,604.29
3044,8442.4,8442.4,56.06,832.73,590.18
2979.4,8221.6,8221.6,45.021,816.15,568.39
2915.7,7998.8,7998.8,42.639,800.03,536.3
2854,7769.4,7769.4,40.378,784.34,501.05
2793.7,7577.5,7577.5,39.347,769,490.86
2735.3,7392.4,7392.4,40.999,754.05,481.47
2702.7,7236.6,7236.6,36.993,739.46,481.99
2950,7434.8,7434.8,34.495,727.25,709.45
3499.3,8668.7,8668.7,39.559,761.55,1248.9
3512.1,9200.9,9200.9,49.389,791.13,1515.7
3131.2,,9773.6,41.306,870.35,2668.5
2872.4,10724,10724,40.116,902.32,3599.3
2614.9,9674.5,9674.5,38.955,811.4,2759
2550.8,8904.3,8904.3,69.23,760.44,2635.9
2653.3,,9614,76.918,724.26,3315.7
2713.6,10343,10343,80.697,781.31,3547.4
2708.5,,10123,116.27,817.33,3033.6
2760.7,10078,10078,105.73,900.36,2942.6
2721.5,11085,11085,123.72,945.82,3650.4
2499.6,11213,11213,121.65,843.38,3682.9
2292.7,,10642,124.02,800.01,3165.6
2157.5,,9849.8,122.36,764.18,2323.7
2056.5,8845.6,8845.6,102.04,754.07,1495
2000.2,8305.7,8305.7,88.887,755.28,1064.8
1958.4,7925.4,7925.4,78.721,759.65,804.97
1919.7,7678.6,7678.6,71.102,762.31,687.97
1884.4,7485.9,7485.9,67.697,759.29,635.29
1848.7,,7334.2,60.725,757.7,622.1
1810.8,7154,7154,58.388,749.02,580.78
1776.1,6942.8,6942.8,49.389,744.13,527.17
1746.4,6766.4,6766.4,44.454,738.78,495.83
1716.5,,6589.5,42.93,732.26,472.93
1687.1,6432,6432,41.129,724.87,465.1
1658.1,6276.4,6276.4,36.143,716.82,457.26
1629.5,6124.6,6124.6,35.355,708.41,449.48
1601.2,5977.1,5977.1,30.486,699.71,441.77
1573.3,,5832.1,32.127,690.6,434.14
1546,5689.4,5689.4,28.934,681.21,426.67
1519.1,,5549.4,27.879,671.73,419.38
1492.8,5412.3,5412.3,27.187,662.21,412.25
1466.9,,5277.8,26.123,652.72,405.26
1441.5,5145.8,5145.8,24.957,643.27,398.4
1416.6,,5017.1,23.69,633.93,391.75
1392.2,4893.6,4893.6,25.577,624.86,385.34
1368.4,4776.1,4776.1,22.597,616.04,379.12
1345.1,,4664.1,24.569,607.38,373.04
1322.4,4556,4556,21.45,598.7,366.99
1300.5,4451,4451,19.549,589.95,361.01
1279.4,,4349.2,19.041,581.24,355.25
1259.1,4251,4251,17.393,572.68,349.71
1239.7,4156.9,4156.9,20.771,564.35,344.33
1221.1,4086.2,4086.2,16.593,556.29,387.56
1203.3,,4623,15.879,548.53,1661.3
1186.5,9041.9,9041.9,15.127,542.52,5878.1
1170.1,,10561,15.27,535.95,6631.1
1153.9,7634.6,7634.6,13.992,527.61,3868.2
1138.2,6191.9,6191.9,13.329,519.68,2535
1122.8,4713.1,4713.1,15.756,511.9,1232.2
1107.9,4015.8,4015.8,12.565,504.53,684.71
1093.4,3745.2,3745.2,11.982,497.52,515.43
1079.4,,3678.6,11.446,490.76,511.09
1065.8,3620.3,3620.3,10.804,484.18,506.96
1052.5,3563.2,3563.2,10.062,477.78,502.95
1039.6,3488.8,3488.8,9.9452,471.52,450.6
1027.1,,3246.7,12.18,465.29,282.25
1014.9,3185.3,3185.3,10.124,459.18,278.45
1003.1,3133.3,3133.3,9.5837,453.18,274.85
991.5,3082.9,3082.9,9.2352,447.4,271.38
980.26,3034.1,3034.1,8.8224,441.82,267.96
971.17,,2989.4,8.5745,436.26,267.1
962.58,,2982.2,9.697,430.67,328.61
951.17,,3091.3,9.1266,425.19,463.16
939.02,3084.6,3084.6,8.577,419.87,467.98
927.65,2948.2,2948.2,8.0468,414.74,387.09
920.28,,3085.2,7.536,411.68,664.55
988.67,,4375.6,7.005,441.12,2224.9
1054.9,,6399.6,6.573,457.96,3903
1131.2,7497.1,7497.1,6.12,469.17,4863.9
1145.6,7906.6,7906.6,5.6856,476.72,5131.3
1035.3,,7026.5,5.4566,482.21,4038
960.36,,6054.7,5.1177,480.8,3627.8
925.83,,7056.1,4.7646,459.44,4437.6
909.09,6758,6758,4.363,441.94,3876.8
882.02,,5196.4,4.8722,410.07,2485.9
865.95,4305.4,4305.4,4.872,393.36,1654.3
852.02,,3533.2,6.12,380.14,978.25
838.71,3126.5,3126.5,11.528,371.87,623.75
830.67,,2923.4,11.924,367.23,470.81
820.34,,2840.8,11.528,362.66,393.63
812.69,,2763.9,11.044,359.39,348.13
805.62,2739.7,2739.7,9.8301,354.93,336.41
798.74,2689.4,2689.4,9.0263,351.88,290.66
790.99,2588.3,2588.3,8.5766,348.3,224.75
784.2,,2556.6,8.4183,345.54,217.83
777.71,,2527.6,7.8455,342.79,214
771.2,,2512.4,7.8133,340.91,218.08
764.65,2608.6,2608.6,7.5504,358.14,349.68
758.11,2797.9,2797.9,6.9274,371.47,521.07
753.27,,3125.6,6.9707,407.01,697.9
765.69,3341.7,3341.7,6.12,437.71,753.84
873.68,,3535.4,7.1449,485.57,785.5
935.5,4019.4,4019.4,6.6557,498.83,1159.2
870.39,4045,4045,6.4908,434.51,1228.9
811.28,3631.1,3631.1,6.2542,397.84,917.24
763.1,3339.4,3339.4,5.7683,370.25,750.02
739.44,3980.5,3980.5,7.6018,360.87,1747.7
757.8,5472.3,5472.3,7.5362,364.17,3048.5
795.76,,5696.8,12.852,369.51,2861.2
802.74,4801.4,4801.4,15.756,366.69,2074.2
795.15,4583,4583,16.515,360.73,2840.4
822.32,12262,12262,17.539,361.19,10749
815.9,17669,17669,19.963,360.73,14942
786.9,,14831,19.293,384.35,11623
764.87,11863,11863,14.261,398.36,8690.2
746.56,8160.6,8160.6,16.33,382.73,5198.2
746.65,,6083.9,15.584,371.39,3476.7
748.9,5546,5546,16.714,361.57,3158.7
781.18,7050.9,7050.9,15.705,356.22,5351.1
798.92,10581,10581,12.992,353.96,8412.6
809.4,,11110,12.835,354.05,8383.8
829.59,10076,10076,10.287,359.6,7572
810.58,10671,10671,11.12,428.11,8497.6
767.78,,14205,10.644,483.15,12330
723.41,15954,15954,9.7317,468.79,13244
682.07,12977,12977,9.1437,440.05,9991.1
652.13,9809.5,9809.5,8.5941,400.63,6994.1
634.73,6447.8,6447.8,7.7166,378.33,3849.4
623.84,4560.9,4560.9,5.6856,366.94,2217.3
615.49,3538,3538,6.3888,364.26,1309.3
609.1,,3073.2,5.9462,364.55,998.94
602.88,,3891.2,4.8603,365.49,2571.4
609.1,,7930.7,4.7703,366.92,6209.9
620.18,,9442.4,4.5417,368.69,6906.1
616.38,7344.4,7344.4,5.3556,394.21,5051.5
604.03,,6465.5,5.2696,404.6,4040.6
595.49,,5076.4,5.4058,389.09,2718
589.44,4265.9,4265.9,5.3988,379.56,2075.7
578.54,4177,4177,5.569,368.41,2176.5
568.66,5112.7,5112.7,5.0206,362.28,3258.4
572.67,7361.8,7361.8,4.5892,367.82,5797.8
632.5,11040,11040,4.3254,377.46,8957.5
692.07,,11718,3.7987,377.13,9119.4
745.18,,12452,4.0522,414.89,10453
834.73,15521,15521,3.6607,434.91,13180
899.19,18215,18215,3.4756,456.33,16054
1097,21967,21967,4.4627,476.18,19605
1347.4,23747,23747,4.6878,436.13,19679
1651.5,,20642,4.655,416.61,16750
2233.2,,25409,4.6865,445.7,22109
2650.6,,35619,128.98,475.88,28324
3554.7,,44749,6829.7,531.76,26529
6294.4,60410,60410,5916.4,548.99,22431
9533,76694,76694,4298.5,496.82,16902
10063,,87571,2268,471.56,17671
8387.9,94162,94162,1170.1,458.19,22885
6975.9,,91310,1030.9,449.93,23264
5835.5,81480,81480,846.13,437.25,19191
4781.9,71305,71305,683.72,435.67,14055
4064.6,60544,60544,470.31,435.2,8395.7
3654.1,53496,53496,454.2,435.88,5013.5
3402.8,48462,48462,377.61,438.43,3154.8
3248.6,44918,44918,317.9,438.36,2457.7
3102.5,,42347,263.41,444.6,2848.9
2994.9,,41048,221.73,449.95,4539.8
3054.7,42658,42658,201.35,454.22,8300.2
3490.6,,46771,187.3,552.76,14815
